State,District,Latitude,Longitude,District code,Population,Housholds_with_Electric_Lighting,Households_with_Internet,sex_ratio,literacy_rate
Bihar,Aurangabad,24.774291867469874,84.45986024096379,515,3701282,589477,23258,92.33,67.65
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,62359,1704,90.67,47.44
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,120373,4644,89.49,52.13
Bihar,Bhagalpur,25.277192885375474,87.04213814229242,224,3037766,174534,6764,88.02,51.78
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,62153,3661,90.75,58.61
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,46760,1784,92.16,58.01
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,127442,6280,91.14,46.14
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,112617,6856,93.75,52.32
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,69375,3707,102.1,53.98
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,32633,1839,92.17,48.77
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,27641,1106,92.17,55.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,60900,2941,91.89,41.69
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,40641,1580,88.61,46.08
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,58718,1093,94.98,44.08
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,44491,1186,90.16,50.68
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,23236,1397,91.09,41.69
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,113281,5319,92.65,48.03
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,90461,2653,87.61,58.62
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,180651,10290,89.95,52.26
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,101378,4156,92.22,52.82
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,31162,1841,93.87,49.16
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,57546,3495,90.92,44.71
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,546859,40692,89.65,59.26
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,74979,7719,90.19,44.65
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,86058,4170,92.11,40.81
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,114893,4594,91.76,60.81
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,41342,1668,90.6,42.35
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,88021,5379,91.1,50.28
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,94787,4509,95.36,54.59
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,20065,631,92.98,51.65
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,10004,478,89.3,43.23
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,66263,3460,89.86,41.97
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,52935,3834,98.82,57.96
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,51028,1845,92.95,46.35
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,70001,4810,89.48,55.13
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,231204,44283,81.77,76.31
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,157646,1782,102.32,46.06
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,79146,1574,98.15,75.3
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,519704,8566,97.08,59.94
